transaction_id,customer_id,product_id,quantity,price,transaction_date
1,101,201,2,19.99,2023-01-15
2,102,202,1,99.99,2023-02-16
3,103,203,5,9.99,2023-03-17
4,101,204,1,49.99,2023-04-18
5,104,205,3,29.99,2023-05-19
6,105,206,4,15.99,2023-06-20
7,102,207,2,24.99,2023-07-21
8,106,208,1,199.99,2023-08-22
9,101,209,3,5.99,2023-09-23
10,103,210,2,14.99,2023-10-24
11,104,211,1,299.99,2023-11-25
12,105,212,6,12.99,2023-12-26
13,106,213,1,49.99,2024-01-27
14,101,214,4,3.99,2024-02-28
15,102,215,3,9.99,2024-03-29
16,103,216,1,79.99,2024-04-30
17,104,217,2,39.99,2024-05-01
18,105,218,1,199.99,2024-06-02
19,106,219,5,19.99,2024-07-03
20,101,220,3,7.99,2024-08-03
